onset	duration	trial_type	identifier	response
1331.616	2.994289	dyad	yt-lMvo3DnAz2I_37.mp4	0
1335.366	2.985667	dyad	yt-nJH9cpyHtro_94.mp4	0
1339.117	2.993901	dyad	flickr-9-6-7-8-7-6-4-6-2496787646_9.mp4	0
1342.868	2.985212	dyad	flickr-6-2-2-9-2-0-1-2-5362292012_12.mp4	0
1346.619	2.991802	dyad	flickr-0-5-6-9-8-9-0-8-4405698908_26.mp4	0
1350.369	2.98623	dyad	vine-arm-wrestling-h6itJarOtiI_3.mp4	0
1354.12	2.993633	dyad	yt-Jpw2EHf2-3s_508.mp4	0
1357.87	2.983029	crowd	yt-0lhJTF-gqcw_35.mp4	0
1361.621	2.9763	crowd	93T09orSRUc_209.mp4	0
1365.371	2.976939	dyad	yt-sNY_HeMbyQc_35.mp4	0
1369.122	2.990475	dyad	yt-PkN1YKOuOYE_6.mp4	0
1372.872	2.99903	dyad	yt--Sv97d457Uw_137.mp4	0
1376.623	2.990251	dyad	yt-iYZvTOb0gWU_608.mp4	0
1380.374	2.983162	dyad	flickr-9-3-0-5-5-4-4-2-3593055442_11.mp4	0
1384.124	2.98961	dyad	flickr-8-4-2-6-5-3-9-1-9784265391_7.mp4	0
1387.875	2.985245	dyad	yt-yQK3lr5cpSU_37.mp4	0
1391.625	2.99034	dyad	yt-cUygizD21xo_35.mp4	0
